127.0.0.1 - - [29/Jan/2013:21:43:54 -0300] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayNormal.gif HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/monthForward_normal.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/monthBackward_normal.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/yearForward_normal.gif HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:23 -0300] "GET /VistasGitHub/css/img/monthBackward_over.gif HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:23 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayOver.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:23 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayOver.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:23 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayOver.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:23 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayOver.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:23 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayOver.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:24 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayOver.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:25 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayDown.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:25 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayDown.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:26 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayOver.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:27 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayOver.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:27 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayOver.gif HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:30 -0300] "POST /VistasGitHub/jsp/backlog/IngresoPosIt.jsp HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:30 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayNormal.gif HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:59 -0300] "GET /VistasGitHub/jsp/backlog/MuestraPosIt.jsp HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:59 -0300] "GET /VistasGitHub/css/kanban.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:59 -0300] "GET /VistasGitHub/js/kanbanOff.js HTTP/1.1" 200 3469
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:59 -0300] "GET /VistasGitHub/images/LineaTiempo.png HTTP/1.1" 200 10668
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:53:38 -0300] "GET /VistasGitHub/html/MoveTag.html HTTP/1.1" 200 6125
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:53:38 -0300] "GET /VistasGitHub/css/borderound.css HTTP/1.1" 200 3813
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:53:38 -0300] "GET /VistasGitHub/css/borderound.css HTTP/1.1" 200 3813
